car,move
T,-4
K,-4
S,-1
T,-2
G,-4
S,-2
E,1
J,-1
S,1
J,1
U,-1
G,1
Q,-1
S,-2
J,-1
U,-1
J,1
Q,1
S,2
J,-2
E,1
Q,-2
L,2
A,2
L,-1
K,1
L,-1
N,-1
E,1
K,-2
F,-1
L,2
T,-1
K,1
M,-2
F,-1
V,-1
T,1
F,1
O,-1
E,2
F,-1
G,2
N,-1
V,1
J,1
A,-1
S,-1
O,1
G,-2
O,-1
K,1
M,-1
K,-2
V,-1
G,1
V,-5
R,-1
N,1
G,-1
S,-1
J,1
V,-1
S,1
V,2
K,2
N,-1
J,-1
G,1
V,3
J,1
M,1
T,2
R,1
G,1
N,1
B,1
F,1
A,2
T,-3
F,-2
J,-1
K,-1
J,1
F,1
V,1
F,1
T,3
F,-1
A,-2
T,-2
K,1
T,1
S,1
O,1
V,-1
G,-1
K,-2
A,1
T,1
E,1
K,1
F,1
V,2
B,-1
E,-1
V,-2
F,-1
V,1
T,-3
G,-1
B,1
T,1
A,-1
V,-1
S,-1
J,-1
M,-1
F,1
J,1
G,-1
M,1
G,2
O,-1
S,-1
J,-1
B,-1
K,-1
E,1
O,1
T,1
S,1
V,1
S,-1
F,1
S,1
F,-2
N,1
V,-1
J,1
A,1
T,2
S,-1
V,2
N,-2
V,-2
N,1
V,1
S,-1
F,-1
G,1
S,1
G,-2
O,-1
G,1
F,1
S,1
F,1
A,-1
K,2
F,-2
A,1
F,2
G,1
F,1
S,1
F,-2
S,-1
N,-1
T,-4
J,-1
V,1
T,2
G,-1
V,-6
G,1
J,1
A,-2
E,-1
N,1
V,-1
G,-1
O,-1
V,2
S,1
R,-1
T,-1
J,-1
B,1
A,2
T,-1
R,1
B,-1
G,-1
K,-1
S,-2
O,1
K,-1
T,1
R,-1
N,-1
O,1
V,-1
K,1
M,-1
V,2
R,1
S,1
K,1
L,-1
U,6
K,-2
U,-3
G,-1
T,-1
U,2
F,1
V,3
U,1
G,1
J,1
U,-1
N,1
L,-1
U,-1
Q,1
F,-3
N,1
F,4
T,1
S,-2
U,1
V,1
S,1
U,1
S,1
V,-1
A,-1
K,1
G,-1
U,-3
A,1
U,-2
T,-1
V,-1
U,2
J,-1
V,-1
U,-2
V,-1
N,-1
O,-1
U,5
V,3
G,3
K,-1
V,1
G,-3
O,1
G,3
V,-1
G,-1
F,-1
V,-2
K,1
R,-1
G,-1
U,-5
K,1
F,-2
V,-2
R,1
V,5
B,1
K,-2
O,-2
E,1
A,1
U,-1
O,2
F,-1
A,-1
G,1
V,-2
N,1
V,1
N,-1
E,-1
V,1
S,-1
V,-1
F,2
V,-5
U,5
V,4
F,1
V,1
J,1
S,-1
T,1
O,-1
U,-2
A,1
J,-1
V,-3
G,-1
U,-1
R,-1
J,-1
U,4
T,-1
E,-2
F,-2
E,-1
U,-5
E,4
V,1
E,-4
U,5
V,1
U,-5
R,1
V,-4
E,4
Q,-1
J,1
R,-1
O,1
V,4
O,-1
S,2
F,-1
U,-1
J,1
F,2
L,1
J,-1
L,-1
R,1
F,1
U,1
S,-2
V,-2
O,1
V,4
O,-1
Q,1
E,-1
U,1
J,-1
E,-2
F,-2
V,-1
U,4
A,-1
E,1
U,-4
A,1
U,2
G,2
F,1
Q,1
T,1
U,-2
G,-2
V,-1
T,-1
U,-2
T,1
Q,-1
V,1
A,-1
U,6
V,-2
O,1
R,-2
G,1
O,-2
U,-4
V,-1
A,-1
U,2
B,-1
Q,-1
R,-1
U,-3
B,1
U,3
O,2
N,2
V,2
G,-1
V,-2
U,-2
N,1
V,1
U,-1
V,-4
X,-2
V,1
U,2
G,2
N,-1
B,-1
U,-3
B,1
U,5
G,-1
X,1
U,-3
X,1
B,1
G,1
V,-1
U,-2
T,1
B,-2
U,3
F,1
U,-2
T,-1
U,4
T,1
U,-1
T,-1
F,-1
N,-1
G,1
U,2
R,1
U,-5
G,-2
U,2
R,2
E,1
U,1
G,1
U,-2
L,1
V,1
U,1
N,-1
O,-1
B,1
V,-1
J,2
U,1
J,-1
S,2
K,2
O,1
F,1
U,2
L,1
M,1
E,1
G,-2
K,-1
E,-1
R,-1
B,-1
K,1
F,1
A,-1
S,1
J,-1
N,1
E,1
G,1
E,-1
G,2
E,1
J,2
F,-1
A,1
G,-1
K,1
F,1
G,-2
U,-1
K,-2
U,1
F,-1
K,-1
G,3
K,3
G,-3
U,-2
G,1
U,1
B,2
T,2
B,-2
F,-3
G,1
V,1
G,1
V,-1
B,1
A,-1
G,-1
T,1
B,1
F,3
T,-1
R,1
A,1
F,-1
T,1
V,1
G,-1
F,-1
A,2
K,-2
G,-2
K,-1
U,-1
F,1
G,1
R,-1
U,2
G,-1
A,-2
V,-1
G,1
F,-1
K,1
V,1
K,2
A,2
B,-1
G,2
B,1
G,-1
E,-1
U,-3
K,-1
U,1
B,-1
G,-1
A,-3
U,-1
B,-1
S,-1
V,-1
M,-1
V,1
U,3
L,-1
B,2
E,1
L,-1
K,-1
U,-2
V,-1
G,1
U,2
E,-1
B,-1
U,-1
G,1
U,1
F,1
L,2
U,-2
N,-1
T,-2
A,1
O,-2
T,-1
E,1
O,1
T,3
B,-1
R,1
F,-1
S,-1
L,-1
F,2
G,-1
L,-1
Q,1
N,-1
U,1
E,-1
T,-2
F,-1
R,-1
O,1
Q,-1
N,1
B,1
K,-1
T,-1
S,-1
U,-5
T,1
O,-2
R,1
T,2
G,-1
S,1
O,2
U,6
V,1
N,1
V,-1
U,-2
G,1
L,1
B,-1
U,-2
S,-1
G,1
S,2
T,-3
J,-1
U,4
E,1
U,-1
B,2
S,-1
J,1
R,-1
F,1
L,-1
B,-2
G,1
T,2
U,-1
L,2
F,-2
R,1
E,-1
U,-1
F,2
T,-2
G,-2
T,3
G,-1
N,-2
F,-3
O,-1
F,2
G,2
O,-1
F,-2
L,-2
G,-1
F,2
U,2
L,2
F,-2
O,1
G,1
E,1
R,-1
N,1
R,1
F,4
U,1
G,-2
R,-1
U,-1
L,-1
F,-1
O,-1
F,-1
B,1
O,1
L,-1
F,-1
K,1
G,1
Q,1
K,-1
V,2
S,-1
E,-1
F,1
T,-2
S,1
R,1
S,-1
U,-5
E,1
R,-1
S,1
Q,-1
B,-1
L,2
K,1
L,-1
O,-1
A,-1
V,-2
O,2
U,1
V,2
O,-1
V,-1
L,-1
E,-1
V,-1
A,1
T,-1
B,1
U,4
B,-1
K,-1
F,2
U,-5
G,1
L,2
O,-1
E,1
T,3
E,-1
K,1
T,-2
F,-1
K,-1
N,-1
O,2
R,1
E,1
F,-1
L,-1
O,-2
T,-1
N,1
V,1
G,-1
U,1
S,-1
J,-2
V,3
T,1
F,2
T,-1
G,-1
L,-1
A,1
E,-4
R,-3
U,4
E,2
V,-1
U,-5
V,1
U,6
O,2
E,-3
U,-4
N,2
U,-1
V,-1
E,2
X,-1
N,1
V,2
U,1
A,-1
U,-2
E,1
X,-1
F,-1
G,3
F,-1
N,-1
X,1
U,2
N,1
B,1
G,-3
V,-4
U,-2
N,-1
U,3
B,-1
U,1
G,2
X,-1
G,-1
U,-3
X,1
U,5
G,-1
U,-4
V,4
B,1
U,-2
V,-3
U,6
V,3
G,3
A,1
U,-6
E,-1
F,1
U,1
N,1
B,-1
U,-1
X,-1
E,1
U,3
F,-1
E,-1
H,2
U,-2
F,3
U,2
H,-1
U,-2
F,-2
T,-1
F,-2
C,1
F,1
T,1
B,1
A,2
U,-1
A,2
H,1
A,-2
T,1
A,-3
U,1
I,-1
A,5
