car,move
K,1
U,1
I,-2
G,1
H,-1
N,-1
W,-1
F,1
C,-1
J,1
N,1
H,1
V,1
V,-2
D,1
H,-1
N,-2
U,-1
W,1
F,-1
B,3
O,-2
V,1
W,-1
Q,1
D,-1
F,1
J,1
P,-1
W,1
O,-2
B,2
J,-2
M,1
N,-1
Z,-2
Y,3
U,-1
A,1
M,-1
N,2
V,1
Y,-2
B,-1
N,1
O,1
U,1
V,-2
Y,-1
C,1
A,-1
U,1
B,-1
N,-1
Y,4
V,2
O,1
B,1
P,1
K,1
Y,-2
A,2
G,-2
O,-1
T,2
Y,1
Q,1
H,-1
B,1
L,-1
Q,-1
T,-1
V,-2
W,-1
M,-1
B,-2
O,1
Q,1
V,-1
T,-1
O,-1
Q,-1
V,-2
Z,1
Y,2
F,-1
Q,1
U,-1
V,2
W,1
Y,-4
V,3
R,-1
N,1
Y,2
Z,-1
U,-1
X,1
V,-2
I,2
W,-1
U,2
A,-1
U,1
N,1
T,3
V,-1
Y,1
Z,1
I,-1
N,1
S,1
K,1
V,-2
X,6
