car,move
AQ,-1
O,1
AJ,-1
J,3
P,1
AJ,1
AL,-1
P,-1
AB,-1
AA,-1
AH,2
AC,-2
AK,-1
O,-1
AR,-1
AJ,-1
AP,-1
AI,-1
AQ,1
AC,-1
O,1
J,-3
AB,1
AD,1
P,2
AB,-1
AO,1
AI,-1
AQ,-2
H,1
AQ,1
AD,-1
D,1
AR,1
P,-2
AC,1
P,1
AQ,1
G,-1
AI,2
J,2
AG,1
A,-1
AK,1
AI,-3
AA,-1
AC,2
AB,1
G,1
A,-5
B,-4
AA,3
AI,2
B,4
AE,-1
D,-1
H,-1
J,-1
B,-3
I,-1
AI,1
AA,-2
H,1
B,1
AI,-2
A,1
H,1
O,-1
AI,1
P,1
A,-1
G,-1
AB,-1
AF,-1
AE,1
P,-2
H,-2
I,1
AA,1
P,1
AB,1
AD,1
J,1
AI,-1
AG,-2
AP,-1
J,1
B,1
A,1
AQ,-1
AP,1
B,-1
AI,-1
AQ,1
B,2
AO,-1
B,-3
F,1
H,1
B,1
AA,-1
AG,2
AE,2
B,1
AE,-1
J,-1
W,3
AA,1
B,1
E,1
J,-2
AP,1
B,-2
AE,-1
Q,-1
AP,-1
AF,1
J,1
AB,-1
Y,-1
AA,1
U,1
J,-2
AB,1
J,1
S,1
B,1
O,1
J,3
A,-1
L,1
O,-1
L,-1
O,1
H,-1
S,-1
AD,-1
AA,-3
J,-1
F,1
AO,1
E,1
J,-2
Q,1
B,-1
N,1
AG,-1
S,1
AA,2
P,-1
AD,1
AO,-1
E,-1
AG,1
L,1
N,-1
AB,-1
L,-1
AA,1
U,-1
E,-1
P,1
E,1
J,3
S,-1
F,-1
AA,-2
AD,-1
Y,1
J,-4
AO,1
F,1
J,3
C,1
J,-1
AC,-1
J,2
A,-1
AD,1
AA,1
J,-3
P,-1
L,1
B,2
L,-1
AC,1
P,2
S,1
AC,-1
E,1
R,-1
AA,-2
AC,-1
X,-1
R,-1
H,1
L,1
B,-1
AD,-1
K,1
AA,-1
X,1
AG,-1
B,-2
J,-1
R,1
AQ,-2
F,1
AC,-1
N,-1
AC,1
N,1
J,1
A,1
G,1
AA,2
AQ,2
AC,1
AA,-1
AC,-2
AK,-1
G,-1
AC,2
AD,1
AA,2
F,-1
AA,-4
S,-1
AA,-1
P,-1
B,3
R,1
P,-1
AK,1
P,2
C,-1
K,-1
AC,1
B,-3
AC,-2
L,-1
I,-1
AK,-1
S,1
H,1
E,-2
F,-2
AC,-1
F,1
AQ,-1
AR,-1
AO,-1
P,-1
AB,1
AQ,-1
J,2
AQ,1
H,1
Q,1
AD,-1
AE,-1
H,-1
AQ,-1
AB,-1
O,-1
J,-2
Y,-1
J,1
P,1
AO,3
U,2
J,-2
AB,1
U,-1
Q,-1
H,-1
U,3
AQ,1
P,-1
J,3
AO,-3
AP,1
I,1
J,1
A,1
I,-1
P,-1
A,-1
AR,1
S,-1
I,1
O,1
N,2
J,-1
I,-1
AK,1
U,-2
J,-1
P,2
U,2
B,1
J,-1
D,1
E,1
H,1
U,-1
D,-1
L,1
P,-1
AJ,1
N,1
AQ,1
AK,-1
AA,-1
M,1
F,3
AQ,-1
F,-1
AQ,-1
E,1
AJ,-1
R,-2
S,1
AP,-1
C,1
A,1
H,-1
AP,1
AB,-1
AR,-1
J,-1
L,-1
G,2
U,1
AR,1
H,1
A,-2
J,3
N,1
A,2
R,-1
Q,1
P,-1
X,-1
M,-1
Q,-1
N,-1
X,1
AE,1
M,1
AK,1
N,-1
H,1
M,-1
AJ,1
AK,-1
M,1
G,-1
N,1
AB,1
M,-2
N,-3
G,-1
AE,-1
AK,1
F,-1
U,-4
Q,1
F,1
T,-2
P,1
F,1
AQ,1
G,1
R,1
AK,-1
AB,-1
H,-1
O,-1
AK,1
U,4
T,2
J,-3
T,-2
AK,-1
G,-1
AC,2
R,-1
J,4
X,2
U,-2
X,1
U,-1
T,2
J,-3
T,-1
C,1
X,2
J,2
R,1
C,-1
R,-1
E,1
U,-1
O,1
J,-2
R,1
AC,-1
U,2
E,-1
AQ,1
AG,1
AC,-1
G,1
J,3
T,1
A,1
Q,-1
J,-4
F,-1
AR,-1
N,1
P,-1
AB,1
G,1
X,3
