car,move
AL,-1
L,1
AF,-1
H,1
AH,2
AA,-1
P,1
AE,-1
AF,1
AQ,-1
AI,-1
P,1
G,-1
AA,-1
AE,1
G,1
L,-1
AF,-1
AQ,1
AE,1
G,-1
H,-1
N,-1
AI,1
W,1
H,1
M,1
AD,1
AG,1
AH,-1
AG,-1
AJ,-1
AM,-1
AA,2
AB,-1
S,1
L,1
K,1
Q,1
AQ,-1
AM,1
AB,1
AD,-1
AP,-1
AH,1
AQ,1
AA,-4
P,-1
AH,-2
AA,1
AB,-1
Q,-1
AM,-1
M,-1
N,1
AA,-2
AQ,-1
AC,-3
AH,1
AO,2
AM,1
P,1
AH,-1
AA,1
AC,1
S,-1
AA,1
AL,1
AO,-1
AQ,1
AA,2
AC,2
AG,1
AO,-1
P,-2
AE,1
AL,-1
W,-1
N,-1
AH,1
AE,-3
AM,-1
M,1
P,2
AA,-2
AP,1
AA,1
AE,2
AH,-1
K,-1
M,-1
AA,3
AM,1
AA,-1
AE,-1
AF,1
P,-1
M,1
AL,1
K,1
AA,-4
M,-1
AJ,1
AA,1
H,-1
N,1
AL,-1
AA,4
AF,-1
AH,2
AJ,-1
AA,-1
AE,2
G,1
AH,-1
AC,-1
K,-1
L,-1
AC,1
AJ,1
G,-1
AE,-3
AF,1
AE,1
AA,-1
J,1
AM,-1
AH,-1
P,-1
H,1
N,-1
AA,1
J,-1
L,1
AH,1
AA,1
AM,1
P,2
L,-1
J,1
AE,-1
AL,1
AE,1
AH,-1
AA,-2
AB,1
P,-2
AL,-1
N,1
AM,-1
G,1
H,-1
J,2
AA,3
AF,-1
AA,1
J,-3
AB,-1
L,1
AN,-1
AA,-2
AM,2
G,-1
AH,2
AC,-2
AA,-1
AC,1
AI,-3
AK,-1
N,-1
AA,2
AD,1
AR,-1
L,-1
P,1
AA,-3
AC,-1
AA,4
AI,1
J,1
AC,-1
AI,2
AR,1
J,2
N,1
G,1
AM,-1
AN,1
AD,-1
AG,-2
AE,-1
AQ,-1
L,1
K,1
P,-1
AB,1
AI,-1
AG,1
AI,-2
P,1
AE,2
AQ,-1
AR,-1
K,-1
G,-1
K,1
AQ,2
AG,1
W,2
Y,-1
N,-1
P,-1
U,-1
AR,1
AK,1
S,1
H,1
U,1
H,-1
AG,-1
AQ,-2
K,-1
N,1
H,1
AQ,2
AB,-1
Q,1
AC,3
P,1
AB,1
W,1
H,-1
Q,-1
S,-1
K,1
Y,1
AE,-1
AB,-1
AC,-2
P,-1
AQ,-1
AC,-1
AD,1
AF,1
AK,-1
N,-1
O,1
D,1
S,1
N,1
AR,-1
F,1
V,1
Q,3
K,-1
A,-1
B,-1
F,-1
L,-1
AC,1
AR,1
B,1
N,-1
Q,-3
AQ,1
J,-3
U,-1
AR,-1
J,1
Q,2
AC,1
AQ,-1
AC,-2
U,1
Q,-2
N,1
P,2
G,1
A,-1
AD,-1
AE,-1
Q,1
A,-3
B,-5
H,1
J,-1
Q,-1
AQ,1
AC,2
Q,1
H,-1
L,1
AG,1
B,1
V,-1
A,-1
H,1
AG,-1
AR,1
AC,-2
AK,1
A,2
B,2
L,-1
AC,1
B,1
AG,1
AA,-3
H,-1
A,2
P,-1
V,1
J,1
AA,-2
H,1
Q,1
J,-2
B,-1
Q,-2
AA,5
AK,-1
S,-1
J,3
AA,-4
AG,-1
AR,-1
AQ,-2
AA,1
B,1
A,-1
AJ,-1
AQ,2
H,-1
A,-3
P,-1
B,-3
I,-1
A,1
H,2
B,1
J,1
AQ,-2
G,-1
J,-2
P,1
A,-1
J,-1
AA,-1
V,-1
AQ,2
P,1
H,-2
AQ,-2
Y,-1
AP,-1
U,3
AA,-1
B,-1
N,-1
AQ,2
M,1
AC,1
AO,1
AR,1
U,-2
B,1
L,1
B,1
D,-1
H,-1
L,-1
S,1
AR,-1
U,-1
S,-1
AO,-1
AQ,-1
Y,1
AA,2
P,-2
L,1
A,1
Y,-1
AQ,1
U,1
A,-1
P,1
B,-1
U,-1
H,1
AO,1
H,-1
M,-1
P,1
AR,1
H,1
N,1
U,2
U,2
F,2
E,2
R,-1
N,4
AG,1
AA,-2
AC,-1
A,1
AK,1
C,1
K,1
AA,1
AC,-1
AK,-1
S,1
P,-2
A,-1
C,-1
H,1
B,1
N,-1
J,-1
M,1
R,-1
N,-1
AK,1
P,1
M,-2
H,2
N,2
Q,-1
T,-2
X,-1
AG,-1
Q,2
AA,-2
F,2
O,-1
AB,1
X,9
