car,move
AJ,-1
AL,-1
AQ,-1
J,3
AH,2
AB,-1
AC,-2
AH,-1
AQ,-1
G,-1
L,1
AL,1
AP,-1
AF,-1
N,-1
H,1
U,-1
AF,1
AP,1
H,-1
L,-1
AQ,1
AJ,1
O,1
J,-1
AC,2
H,1
AH,-1
J,-2
L,1
H,-2
U,1
AC,-1
AH,1
H,2
AE,-1
N,1
F,1
AE,1
AK,-1
H,-1
AJ,-1
AC,-1
L,-1
AD,1
AK,1
D,1
AP,-1
AQ,1
F,-1
AL,-1
AP,1
F,1
AP,-1
AK,-1
A,-1
F,-1
H,1
AL,1
AQ,-1
J,2
AC,1
J,-1
B,-1
P,2
AA,-2
AD,-1
J,-2
H,-1
AA,2
P,-2
J,4
B,1
AD,1
J,-3
B,-1
F,1
J,3
F,-1
AQ,1
AL,-1
AC,-1
F,1
AD,-1
AA,-1
AE,-1
AQ,-1
J,-2
AM,-1
AQ,-1
J,1
AP,1
AM,1
AQ,1
E,1
Q,-1
AC,1
P,1
AM,-1
B,1
AQ,1
Q,1
J,1
C,1
AG,1
AA,-1
J,-1
AP,-1
B,-1
J,1
AC,-1
AA,3
AR,-1
J,-3
AM,1
AA,-2
H,1
AE,1
AH,1
AD,1
P,1
H,-1
AI,-2
C,-1
P,-1
AG,-1
AP,1
AA,1
AG,1
AC,1
L,1
P,-1
AA,1
J,-1
H,1
P,1
E,-1
AJ,1
AI,2
J,1
K,1
E,1
AI,-2
E,-1
AR,1
K,-1
F,-1
P,-1
G,1
A,-5
AA,-1
AC,-1
A,4
AA,3
A,1
AC,1
A,-2
K,1
AD,-1
AK,1
A,2
AC,-1
AI,1
A,-3
AD,1
A,3
AD,-1
AC,1
AE,-1
A,-2
AC,1
J,-1
AC,-3
AK,-1
A,-2
G,-1
AK,1
K,-1
P,1
AE,1
AC,3
AA,-2
B,-1
J,1
L,-1
AA,-2
J,-1
AE,-1
J,4
AA,2
J,-3
AI,1
D,-1
P,-1
AB,1
