car,move
B,1
E,1
I,-1
M,1
S,-4
K,-1
A,1
M,1
T,-1
U,-1
K,1
B,-1
I,1
B,1
K,-1
M,-1
P,1
S,-2
A,-2
E,-1
F,-1
K,1
S,-1
G,-3
K,1
M,1
D,4
C,-1
G,3
E,1
S,5
G,-1
D,1
F,1
A,5
H,-1
S,-1
B,-1
C,-1
H,-1
G,2
D,-2
A,-4
B,1
D,-1
S,2
K,-2
P,-2
U,1
C,1
A,4
E,-1
K,1
S,-6
K,-1
E,1
F,-1
M,-1
P,1
S,1
M,-1
A,-1
J,-1
K,1
S,1
C,-1
M,1
T,1
A,1
B,-1
S,4
P,-1
S,-3
B,1
C,1
M,-1
O,-1
T,-1
S,-2
U,-1
P,2
B,-1
A,-1
E,-1
O,1
E,1
I,-1
K,-1
S,1
C,-1
I,1
C,1
J,1
P,-2
S,1
E,-1
J,-1
S,-1
M,2
O,-1
E,1
A,1
I,-2
O,1
P,1
S,-1
A,-1
K,1
M,-1
P,-1
S,2
U,1
X,-1
J,1
A,1
M,1
S,2
E,2
N,-2
U,-1
P,2
K,1
D,1
N,-2
A,-1
M,-1
X,1
M,1
I,1
D,2
G,-1
S,1
L,1
Q,-1
R,-1
O,1
J,1
X,6
