car,move
G,-2
J,-2
G,-2
T,-2
N,-1
E,1
J,1
K,-1
E,-1
G,1
K,1
G,1
J,1
K,-1
M,1
K,-1
U,-1
J,-1
M,-1
O,-1
K,2
J,1
G,-1
T,1
G,-1
U,1
J,-2
G,2
T,1
J,2
K,-1
G,1
K,1
O,1
T,-5
G,-1
K,-2
S,-2
J,-1
S,2
K,1
G,1
Q,-1
J,1
K,-1
Q,1
T,4
K,1
O,-1
T,-4
K,1
O,1
T,3
J,-2
G,-2
Q,-1
G,2
Q,1
J,1
U,-1
J,-1
M,1
T,1
G,-1
U,1
J,1
K,-2
S,-1
U,-1
K,1
U,1
T,-1
G,-1
S,1
J,1
U,-1
G,-1
S,-1
M,-1
T,-1
O,-1
U,-1
G,3
K,-3
S,-2
U,2
K,1
Q,-2
U,-2
O,1
K,-1
Q,1
T,-1
Q,1
T,2
J,-1
N,1
J,1
T,-2
G,1
S,2
G,-1
T,-1
K,1
U,1
G,1
T,2
Q,-1
K,2
U,-1
G,-4
U,2
Q,1
G,4
E,1
S,1
T,2
K,1
J,-1
K,-4
T,1
K,2
T,-2
K,2
J,1
K,-1
T,-4
A,1
K,-4
J,-1
S,-1
T,1
S,-4
Q,-1
S,5
K,5
T,-1
K,-5
A,1
K,4
U,-1
T,-1
J,1
Q,1
J,-1
S,-1
Q,-1
T,2
K,-3
S,-2
U,1
A,-1
T,-1
K,1
A,1
T,-1
Q,1
T,1
S,3
U,-1
T,1
K,-2
A,-1
K,5
Q,-1
J,1
T,3
Q,1
J,-1
U,1
T,2
A,-1
E,-1
K,-1
J,1
E,1
J,-1
A,2
K,-3
S,-4
J,1
T,-3
Q,-2
A,-2
S,1
L,1
S,1
A,2
K,1
U,-2
T,-2
A,-1
K,-2
U,2
S,-3
L,-1
T,2
A,1
S,2
Q,1
T,-1
S,-1
T,1
U,-2
Q,-1
L,1
S,-1
T,-3
J,-1
A,-1
U,2
T,1
S,3
A,1
K,3
L,-1
J,1
U,-1
K,-2
J,-2
T,-2
J,1
L,1
T,2
K,1
T,-2
L,-1
K,1
Q,2
K,-2
T,2
A,-1
K,-1
S,-1
K,1
S,3
T,-1
S,-4
J,1
A,1
Q,-1
S,2
A,-1
S,2
K,-1
T,3
K,4
U,1
S,-1
K,-1
S,1
U,-1
T,-1
U,1
T,1
S,-2
U,-1
T,-1
Q,1
T,-1
J,-1
U,1
S,2
K,2
U,-1
K,-2
J,1
T,3
A,1
T,-2
U,1
S,-1
Q,-1
S,-1
K,-1
S,1
T,-1
U,-1
J,-2
U,1
J,2
T,-1
J,-2
S,1
J,1
Q,1
K,-2
S,-1
K,3
S,-1
U,-1
Q,-2
U,-1
K,-2
S,-1
T,1
K,1
S,1
Q,1
J,1
K,-1
S,-2
T,3
U,2
T,-2
Q,-1
T,-3
K,-1
Q,2
T,4
U,-1
S,3
K,4
T,-3
Q,-1
U,-1
K,-3
A,-2
K,2
T,1
U,2
A,1
T,2
S,1
T,1
K,-3
