car,move
A,1
M,1
S,-2
A,-1
R,1
B,1
M,1
B,-1
E,1
M,-1
B,1
I,-1
G,-1
S,1
G,1
S,-5
G,-1
K,-1
M,-1
K,1
B,-1
M,1
A,1
R,-1
T,-1
M,1
I,1
A,-1
T,1
M,-1
T,-1
I,-1
K,-1
M,-1
G,1
S,2
I,1
A,1
I,-1
M,2
S,-1
K,1
S,2
I,-1
I,2
G,-1
B,1
A,-2
E,-1
U,-1
F,-1
G,-1
M,-1
S,2
U,1
G,1
T,1
S,-1
G,-2
R,1
M,1
D,1
S,1
S,-2
D,1
S,1
D,-1
S,1
M,-1
D,1
C,-1
S,-1
M,1
H,-1
C,-1
S,-1
H,-1
P,-1
S,1
M,-1
S,1
H,1
S,-2
M,-1
M,2
C,1
H,-1
S,1
P,1
S,-1
C,-1
S,2
C,1
M,-1
K,-1
R,-1
T,-1
K,1
M,1
P,-2
T,1
S,1
C,-1
S,-1
P,1
H,1
R,1
H,-1
K,-1
P,1
C,1
K,1
R,-1
S,-2
P,-2
S,1
C,-1
M,-1
S,-1
P,2
P,-2
C,1
S,1
M,2
C,-1
S,2
C,1
M,-1
P,1
S,-2
R,1
C,-1
R,-1
C,1
S,2
P,1
S,-1
M,-1
C,-1
S,1
C,1
K,-1
M,-1
P,-2
C,-1
P,1
K,1
M,2
H,1
S,-1
C,1
H,-1
R,1
K,-1
C,-1
P,1
H,2
M,-1
H,-2
H,1
R,-1
S,1
P,-1
H,-1
S,-1
T,-1
H,1
T,1
H,-1
T,-1
H,1
C,1
H,-1
P,1
M,1
K,1
C,-1
T,1
M,-1
S,-2
S,3
H,1
M,-1
M,2
M,-1
H,1
M,1
H,-2
M,-1
S,-3
H,2
M,1
H,-1
P,-1
M,-2
P,1
M,2
H,1
C,2
S,1
C,-1
H,-2
S,-1
H,2
S,2
C,-1
H,-1
M,-1
H,1
R,1
S,-1
R,-1
C,1
S,1
H,-2
T,-1
H,1
U,-1
S,-1
H,1
M,1
U,1
H,-2
C,-1
M,-1
S,-1
H,2
S,1
M,1
S,-1
M,-2
C,1
H,-2
P,-2
M,2
M,-2
P,1
U,-1
P,1
H,1
U,1
H,1
U,-1
C,1
D,-1
P,1
M,2
S,2
K,1
D,3
C,-2
G,2
G,-1
H,-2
G,2
H,2
J,-1
S,-4
S,2
O,-1
H,-1
E,1
I,-1
G,-1
I,1
S,2
D,1
O,1
H,-1
I,-1
H,2
J,1
C,1
G,-1
G,2
S,-1
G,-2
H,-1
I,1
H,1
D,-1
C,1
S,-1
B,1
C,-2
D,1
B,-1
C,1
G,1
B,1
F,1
A,3
S,2
A,-2
C,1
B,-1
S,-2
C,-2
B,1
A,4
H,-1
F,-1
C,1
E,1
H,1
A,-1
D,-1
A,2
D,1
B,-1
E,-1
S,2
E,1
C,1
B,-1
I,-1
A,-2
C,-1
S,-2
B,1
S,1
H,-1
S,1
B,-1
I,-1
S,-2
E,-1
G,-1
A,2
S,2
I,2
S,-1
B,2
G,1
C,-1
S,-1
B,-1
G,1
S,-2
J,-1
A,-2
E,-1
B,-1
S,1
S,3
G,-1
S,-1
E,1
I,-2
H,1
X,-1
J,1
G,1
A,1
D,-1
S,1
E,1
H,-1
S,-3
S,-1
H,1
H,-2
D,1
H,2
N,-1
C,1
S,-2
S,5
S,-2
S,3
A,-1
S,-3
A,1
N,1
A,-1
C,1
N,-1
S,3
C,-2
C,1
A,2
H,-1
S,-2
S,-4
A,-1
S,2
S,1
S,2
H,-1
S,1
G,1
S,-5
E,2
J,-1
N,-4
O,-1
A,-1
O,1
N,1
N,3
N,-4
O,-1
N,2
L,1
N,-1
X,1
A,1
N,-1
O,1
N,1
I,3
X,-1
J,1
B,2
N,2
B,-1
A,-1
N,-1
F,1
A,-2
B,-1
N,-1
X,1
A,-1
X,-1
D,-1
A,1
X,1
I,-1
B,2
A,-1
B,-1
A,3
I,-1
A,1
S,-1
Q,-1
R,-1
S,1
A,-2
A,-1
I,1
A,3
B,-1
I,-2
O,1
S,-1
X,-1
L,2
X,1
F,-1
I,2
I,-2
F,1
I,2
S,1
B,1
S,-1
B,1
L,-2
J,1
S,1
N,-1
F,-1
A,-1
D,1
X,6
